# loss	acc	val_loss	val_acc
6.945007975710013604e-01	5.016844868659973145e-01	6.929841220378876177e-01	5.230000019073486328e-01
6.940678727596834019e-01	5.019436478614807129e-01	6.928738474845885786e-01	5.230000019073486328e-01
6.937771909166532414e-01	5.055977106094360352e-01	6.926967978477478471e-01	5.220000147819519043e-01
6.934385804268442532e-01	5.070360302925109863e-01	6.925314307212829812e-01	5.220000147819519043e-01
6.930792582134851498e-01	5.101070404052734375e-01	6.923611819744109885e-01	5.230000019073486328e-01
6.929855766632385672e-01	5.114935040473937988e-01	6.921948909759521040e-01	5.279999971389770508e-01
6.925418191267276313e-01	5.147977471351623535e-01	6.920452415943145752e-01	5.279999971389770508e-01
6.923341831792820811e-01	5.167413949966430664e-01	6.919010639190673606e-01	5.329999923706054688e-01
6.919992225212830972e-01	5.192292928695678711e-01	6.917530536651611550e-01	5.310000181198120117e-01
6.915933737473812792e-01	5.263430476188659668e-01	6.915616035461426003e-01	5.310000181198120117e-01
6.914154098762809175e-01	5.259154438972473145e-01	6.913960695266723189e-01	5.339999794960021973e-01
6.910965272418065908e-01	5.297250151634216309e-01	6.912249565124511941e-01	5.310000181198120117e-01
6.907714679537945157e-01	5.311115384101867676e-01	6.910506546497344749e-01	5.310000181198120117e-01
6.906200128758034351e-01	5.316687226295471191e-01	6.908833980560302734e-01	5.350000262260437012e-01
6.901469769591409564e-01	5.367999672889709473e-01	6.906556606292724165e-01	5.339999794960021973e-01
6.901221283454617161e-01	5.366444587707519531e-01	6.904605746269225630e-01	5.440000295639038086e-01
6.897138639314092101e-01	5.394951701164245605e-01	6.902461647987365723e-01	5.400000214576721191e-01
6.892866338374754598e-01	5.420737266540527344e-01	6.900666177272796187e-01	5.440000295639038086e-01
6.890984520338907515e-01	5.454946160316467285e-01	6.898877263069153054e-01	5.529999732971191406e-01
6.886966994431129585e-01	5.472698211669921875e-01	6.896578431129455344e-01	5.540000200271606445e-01
